Geneid	CBG03H-1	CBG03H-2	CBG03H-3	CBG24H-1	CBG24H-2	CBG24H-3	CBG72H-1	CBGW03H-1	CBGW03H-2	CBGW03H-3	CBGW24H-1	CBGW24H-2	CBGW24H-3	CBGW72H-1	CBGW72H-2	CBGW72H-3	CVB03H-1	CVB03H-2	CVB03H-3	CVB24H-1	CVB24H-2	CVB24H-3	CVB72H-1	CVB72H-2	CVB72H-3	VB03H-1	VB03H-2	VB03H-3	VB24H-1	VB24H-2	VB24H-3	VB72H-1	VB72H-2	VB72H-3	ABGA24-1	ABGA24-2	ABGA24-3	ABGA3-1	ABGA3-2	ABGA3-3	ABGA72-1	ABGA72-2	ABGA72-3	ABGW24-1	ABGW24-2	ABGW24-3	ABGW3-1	ABGW3-2	ABGW3-3	ABGW72-1	ABGW72-2	ABGW72-3	AVEG24-1	AVEG24-2	AVEG24-3	AVEG3-1	AVEG3-2	AVEG3-3	AVEG72-1	AVEG72-2	AVEG72-3
GHANMGCD_00078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	8	0	2	7	14	6	0	2	38	15	22	8	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	15	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00084	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	5	0	0	24	50	19	5	5	14	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
GHANMGCD_00085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	6	0	3	13	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	7	15	5	1	0	0	0	7	6	20	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHANMGCD_00090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
